venue,tau_bin,gap_bin,n,b_mean,b_std,spread_med
okx,180,10,901,0.8738895671476138,0.045330309481640615,0.08000000000000007
okx,180,12.5,645,0.8989953488372092,0.029774996963418912,0.06999999999999995
okx,180,15,344,0.9033764534883721,0.026675323506540373,0.06999999999999995
okx,180,17.5,183,0.9223961748633879,0.023825375165387245,0.04999999999999993
okx,180,20,89,0.914932584269663,0.03900183496639173,0.030000000000000027
okx,180,22.5,78,0.9372435897435898,0.033250792744162,0.030000000000000027
okx,180,25,69,0.9321521739130435,0.029653923501421046,0.019999999999999907
okx,180,27.5,62,0.9532983870967742,0.022670566546070903,0.030000000000000027
okx,180,30,44,0.9616818181818182,0.018387967156600578,0.039000000000000035
okx,240,-27.5,62,0.11178225806451612,0.020516810573991077,0.17700000000000002
okx,240,-22.5,11,0.085,0.03492849839314596,0.009999999999999995
okx,240,-20,63,0.07412698412698412,0.02882846491134943,0.009999999999999995
okx,240,-17.5,57,0.08885087719298246,0.03694505632309677,0.06
okx,240,-15,234,0.11097435897435898,0.02692895964594758,0.06999999999999999
okx,240,-12.5,292,0.13422602739726028,0.03653361123403946,0.06
okx,240,-10,461,0.13390347071583514,0.04828194942317324,0.09
okx,240,-7.5,905,0.16114972375690606,0.055116865607275856,0.1
okx,240,-5,1160,0.2357198275862069,0.07865414482833068,0.13
okx,240,-2.5,1745,0.31000000000000005,0.0682822914837751,0.14999999999999997
okx,240,0,1537,0.42816200390370857,0.06003678701379746,0.14999999999999997
okx,240,2.5,1772,0.5685496613995485,0.05873753038635136,0.1499999999999999
okx,240,5,1731,0.6937261698440208,0.06676057732438795,0.14
okx,240,7.5,1089,0.7677318640955004,0.05821366343552404,0.13
okx,240,10,909,0.8316666666666667,0.04663040073951507,0.07999999999999996
okx,240,12.5,450,0.8593111111111111,0.04435974730981621,0.07000000000000006
okx,240,15,316,0.8752848101265822,0.04210057372789343,0.05999999999999994
okx,240,17.5,256,0.893828125,0.0457871648039525,0.05999999999999994
okx,240,20,118,0.8916949152542373,0.04034689504455507,0.06999999999999995
okx,240,22.5,23,0.8686956521739131,0.06144504919964048,0.07999999999999996
okx,240,25,48,0.8729999999999999,0.04229921280893195,0.08999999999999997
okx,240,27.5,25,0.89276,0.02783512469285277,0.12
