ts_ms,window_start_ms,tau_s,direction,best_ev,ev_a,ev_b,raw_edge_a,raw_edge_b,p_band,pm_is_low_target,up_ask,down_ask,up_ask_okx,down_ask_okx,target_px,target_px_okx,gap_bps,gap_bps_okx,book_age_ms,book_age_ms_okx
1787847985500,1787847900000,214.5,okxUP+pmDOWN,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.71,80495.12183254676,80490.1,-1.0280215801127082,-2.2735715323999983,0,94
1787847986000,1787847900000,214.0,okxUP+pmDOWN,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.71,80495.12183254676,80490.1,-1.0280215801127082,-2.3978104139518908,0,94
1787847986500,1787847900000,213.5,okxUP+pmDOWN,0.0071421999999999874,-0.22190719999999997,0.0071421999999999874,-0.22190719999999997,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.72,80495.12183254676,80490.1,-1.0280215801127082,-2.3978104139518908,4,93
1787847987001,1787847900000,212.999,okxUP+pmDOWN,0.0272038,-0.24170479999999994,0.0272038,-0.24170479999999994,0.0272038,0.0,false,0.48,0.53,0.42,0.74,80495.12183254676,80490.1,-1.444062014776106,-2.484777631037854,0,94
1787847987501,1787847900000,212.499,okxUP+pmDOWN,0.04728299999999985,-0.25159699999999985,0.04728299999999985,-0.25159699999999985,0.04728299999999985,0.0,false,0.48,0.53,0.4,0.75,80495.12183254676,80490.1,-1.444062014776106,-3.1059720387973173,8,93
1787847994500,1787847900000,205.5,okxUP+pmDOWN,0.007430199999999942,-0.11239379999999999,0.007430199999999942,-0.11239379999999999,0.007430199999999942,0.0,false,0.45,0.56,0.41,0.64,80495.12183254676,80490.1,-3.1520391587850765,-3.9011008807305156,31,94
1787847997000,1787847900000,203.0,okxUP+pmDOWN,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.71,80495.12183254676,80490.1,-3.380376394088415,-2.621440400745659,3,94
1787847997500,1787847900000,202.5,okxUP+pmDOWN,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.71,80495.12183254676,80490.1,-2.5018836002681843,-2.621440400745659,1,94
1787847998000,1787847900000,202.0,okxUP+pmDOWN,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,-0.2120017999999999,0.0071421999999999874,0.0,false,0.48,0.53,0.44,0.71,80495.12183254676,80490.1,-2.5018836002681843,-2.621440400745659,0,94
1787847998501,1787847900000,201.499,okxUP+pmDOWN,0.0272038,-0.2318081999999999,0.0272038,-0.2318081999999999,0.0272038,0.0,false,0.48,0.53,0.42,0.73,80495.12183254676,80490.1,-2.237394916665889,-2.5965926244356425,8,94
1787847999000,1787847900000,201.0,okxUP+pmDOWN,0.01717079999999993,-0.22190719999999997,0.01717079999999993,-0.22190719999999997,0.01717079999999993,0.0,false,0.48,0.53,0.43,0.72,80495.12183254676,80490.1,-2.237394916665889,-2.5965926244356425,5,93
1787847999501,1787847900000,200.499,okxUP+pmDOWN,0.01717079999999993,-0.22190719999999997,0.01717079999999993,-0.22190719999999997,0.01717079999999993,0.0,false,0.48,0.53,0.43,0.72,80495.12183254676,80490.1,-2.291831024327388,-2.5965926244356425,2,194
1787848007500,1787847900000,192.5,okxUP+pmDOWN,0.0071141999999999594,-0.12277000000000005,0.0071141999999999594,-0.12277000000000005,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.55,80495.12183254676,80490.1,-2.5838165671732747,-2.012669881142108,2,92
1787848008512,1787847900000,191.488,okxUP+pmDOWN,0.0071141999999999594,-0.15268419999999994,0.0071141999999999594,-0.15268419999999994,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.58,80495.12183254676,80490.1,-2.252475070801854,-1.689648789106464,0,0
1787848009000,1787847900000,191.0,okxUP+pmDOWN,0.0071141999999999594,-0.22233000000000014,0.0071141999999999594,-0.22233000000000014,0.0071141999999999594,0.0,false,0.55,0.46,0.51,0.65,80495.12183254676,80490.1,-1.9917571794034783,-1.6772249009505515,3,93
1787848009500,1787847900000,190.5,okxUP+pmDOWN,0.027114199999999977,-0.2024532000000001,0.027114199999999977,-0.2024532000000001,0.027114199999999977,0.0,false,0.55,0.46,0.49,0.63,80495.12183254676,80490.1,-1.9917571794034783,-1.689648789106464,29,94
1787848010000,1787847900000,190.0,okxUP+pmDOWN,0.03708279999999997,-0.2223248000000002,0.03708279999999997,-0.2223248000000002,0.03708279999999997,0.0,false,0.54,0.47,0.47,0.66,80495.12183254676,80490.1,-1.3909645061025742,-1.8263115588142693,1,93
1787848010500,1787847900000,189.5,okxUP+pmDOWN,0.03708279999999997,-0.2223248000000002,0.03708279999999997,-0.2223248000000002,0.03708279999999997,0.0,false,0.54,0.47,0.47,0.66,80495.12183254676,80490.1,-1.3909645061025742,-1.8263115588142693,6,93
1787848011000,1787847900000,189.0,okxUP+pmDOWN,0.03708279999999997,-0.2223248000000002,0.03708279999999997,-0.2223248000000002,0.03708279999999997,0.0,false,0.54,0.47,0.47,0.66,80495.12183254676,80490.1,-1.3909645061025742,-1.8387354469683737,7,93
1787848011500,1787847900000,188.5,okxUP+pmDOWN,0.02707179999999998,-0.12280880000000005,0.02707179999999998,-0.12280880000000005,0.02707179999999998,0.0,false,0.54,0.47,0.48,0.56,80495.12183254676,80490.1,-1.3419468616251051,-1.7766160061924272,22,85
1787848012000,1787847900000,188.0,okxUP+pmDOWN,0.02707179999999998,-0.12280880000000005,0.02707179999999998,-0.12280880000000005,0.02707179999999998,0.0,false,0.54,0.47,0.48,0.56,80495.12183254676,80490.1,-1.3419468616251051,-1.7766160061924272,10,85
1787848012500,1787847900000,187.5,okxUP+pmDOWN,0.02707179999999998,-0.12280880000000005,0.02707179999999998,-0.12280880000000005,0.02707179999999998,0.0,false,0.54,0.47,0.48,0.56,80495.12183254676,80490.1,-1.5405481613898926,-1.689648789106464,22,292
1787848013000,1787847900000,187.0,okxUP+pmDOWN,0.017065200000000003,-0.12280880000000005,0.017065200000000003,-0.12280880000000005,0.017065200000000003,0.0,false,0.54,0.47,0.49,0.56,80495.12183254676,80490.1,-1.5405481613898926,-1.689648789106464,1,394
1787848038500,1787847900000,161.5,okxUP+pmDOWN,0.0050248000000000514,-0.18584180000000017,0.0050248000000000514,-0.18584180000000017,0.0050248000000000514,0.0,false,0.81,0.2,0.78,0.36,80495.12183254676,80490.1,5.807502918782482,5.292576354109544,2,192
1787848039500,1787847900000,160.5,okxUP+pmDOWN,0.07376700000000014,-0.27666480000000004,0.07376700000000014,-0.27666480000000004,0.07376700000000014,0.0,false,0.8,0.21,0.7,0.46,80495.12183254676,80490.1,5.539627945809136,4.1247308675224765,0,93
1787848040000,1787847900000,160.0,okxUP+pmDOWN,0.013370199999999999,-0.2173712000000001,0.013370199999999999,-0.2173712000000001,0.013370199999999999,0.0,false,0.78,0.23,0.74,0.42,80495.12183254676,80490.1,5.539627945809136,4.2613936372284735,0,94
1787848040500,1787847900000,159.5,okxUP+pmDOWN,0.023755199999999976,-0.22697220000000007,0.023755199999999976,-0.22697220000000007,0.023755199999999976,0.0,false,0.79,0.22,0.74,0.42,80495.12183254676,80490.1,5.539627945809136,4.2613936372284735,2,94
1787848041001,1787847900000,158.999,okxUP+pmDOWN,0.04216920000000002,-0.19729200000000002,0.04216920000000002,-0.19729200000000002,0.04216920000000002,0.0,false,0.78,0.25,0.69,0.4,80495.12183254676,80490.1,4.81490452272442,4.137154755676581,0,93
1787848041500,1787847900000,158.5,okxUP+pmDOWN,0.05252620000000008,-0.18767699999999987,0.05252620000000008,-0.18767699999999987,0.05252620000000008,0.0,false,0.77,0.24,0.69,0.4,80495.12183254676,80490.1,4.81490452272442,4.137154755676581,2,93
1787848042500,1787847900000,157.5,okxUP+pmDOWN,0.0039751999999999565,-0.18679620000000008,0.0039751999999999565,-0.18679620000000008,0.0039751999999999565,0.0,false,0.79,0.22,0.76,0.38,80495.12183254676,80490.1,4.120724691814871,3.9011008807287078,0,92
1787848045501,1787847900000,154.499,okxUP+pmDOWN,0.006737199999999888,-0.1943448000000001,0.006737199999999888,-0.1943448000000001,0.006737199999999888,0.0,false,0.84,0.17,0.81,0.34,80495.12183254676,80490.1,4.238971617549184,4.584414729264117,31,90
1787848048001,1787847900000,151.999,okxUP+pmDOWN,0.00734480000000004,-0.17363079999999997,0.00734480000000004,-0.17363079999999997,0.00734480000000004,0.0,false,0.85,0.16,0.82,0.31,80495.12183254676,80490.1,5.046912140498165,5.35469579488549,10,495
1787848048500,1787847900000,151.5,okxUP+pmDOWN,0.00734480000000004,-0.17363079999999997,0.00734480000000004,-0.17363079999999997,0.00734480000000004,0.0,false,0.85,0.16,0.82,0.31,80495.12183254676,80490.1,5.046912140498165,5.35469579488549,0,495
1787848051001,1787847900000,148.999,okxUP+pmDOWN,0.07589019999999991,-0.1842722000000001,0.07589019999999991,-0.1842722000000001,0.07589019999999991,0.0,false,0.84,0.17,0.74,0.33,80495.12183254676,80490.1,5.712419078932927,5.553478005369243,3,90
1787848051500,1787847900000,148.5,okxUP+pmDOWN,0.0462267999999999,-0.1943448000000001,0.0462267999999999,-0.1943448000000001,0.0462267999999999,0.0,false,0.84,0.17,0.77,0.34,80495.12183254676,80490.1,5.712419078932927,5.454086900127367,2,293
1787848053000,1787847900000,147.0,okxUP+pmDOWN,0.04456720000000003,-0.175778,0.04456720000000003,-0.175778,0.04456720000000003,0.0,false,0.81,0.2,0.74,0.35,80495.12183254676,80490.1,5.753905171834659,5.044098591005759,5,193
1787848053500,1787847900000,146.5,okxUP+pmDOWN,0.05499419999999999,-0.18533699999999986,0.05499419999999999,-0.18533699999999986,0.05499419999999999,0.0,false,0.82,0.19,0.74,0.35,80495.12183254676,80490.1,5.648964446026984,5.044098591005759,0,193
1787848054000,1787847900000,146.0,okxUP+pmDOWN,0.05499419999999999,-0.1752688,0.05499419999999999,-0.1752688,0.05499419999999999,0.0,false,0.82,0.19,0.74,0.34,80495.12183254676,80490.1,5.648964446026984,5.044098591005759,5,295
1787848054500,1787847900000,145.5,okxUP+pmDOWN,0.045101999999999864,-0.1752688,0.045101999999999864,-0.1752688,0.045101999999999864,0.0,false,0.82,0.19,0.75,0.34,80495.12183254676,80490.1,5.648964446026984,5.044098591005759,1,293
1787848055000,1787847900000,145.0,okxUP+pmDOWN,0.045655199999999896,-0.18481380000000014,0.045655199999999896,-0.18481380000000014,0.045655199999999896,0.0,false,0.83,0.18,0.76,0.34,80495.12183254676,80490.1,5.324090592446041,5.044098591005759,0,95
1787848055500,1787847900000,144.5,okxUP+pmDOWN,0.045655199999999896,-0.18481380000000014,0.045655199999999896,-0.18481380000000014,0.045655199999999896,0.0,false,0.83,0.18,0.76,0.34,80495.12183254676,80490.1,5.324090592446041,5.044098591005759,1,93
1787848056001,1787847900000,143.999,okxUP+pmDOWN,0.045655199999999896,-0.17474120000000015,0.045655199999999896,-0.17474120000000015,0.045655199999999896,0.0,false,0.83,0.18,0.76,0.33,80495.12183254676,80490.1,5.23616850092266,5.031674702851655,11,195
